Title,location,exhibits,headline,address,city,state,zip_code,subject,date,approx_date_built,approx_date_demolished,architect,filename,format,objectid,rights,location,latitude,longitude,status
A. M. E. Book Concern,Center City,,,631 Pine St.,Philadelphia,PA,19106,,,,,,https://images.nypl.org/index.php?id=1225582&t=w,image/jpeg,dream000,New York Public Library,"631-33 Pine St, Philadelphia, PA, USA",39.944263,-75.152949,success
Benezet's School / Quaker African School House,Center City,1700s,1700s,Willings Alley,Philadelphia,PA,19106,school,,,,,https://3.bp.blogspot.com/-NgI-bzgqzpw/UJ_Idk6d7nI/AAAAAAAAFHY/pjn7LXQ99dw/s400/Locust+lot.jpg,image/jpeg,dream001,,"Willings Alley, Philadelphia, PA, USA",39.94642,-75.147316,success
Benjamin Banneker Institute,Center City,,,409 S. 11th St.,Philadelphia,PA,19147,,,,,,https://img.geocaching.com/waymarking/log/display/82f8fd54-d7ff-478f-835c-62a06c8598ec.jpg,image/jpeg,dream002,,"409-15 S 11th St, Philadelphia, PA, USA",39.944331,-75.159751,success
College Settlement / W. E. B. DuBois House,Center City,1970s,1970s,617 Rodman St.,Philadelphia,PA,19147,settlement house,,,,,,,dream003,,"Rodman Street, Philadelphia, PA, USA",39.94321,-75.158547,doubt
Colored Industrial School,Center City,,,20th below Walnut St.,Philadelphia,PA,,school,,,,,,,dream004,,"Philadelphia, PA, USA",39.990821,-75.168428,doubt
Douglass Hotel (Billie Holiday Residence),Center City,,,1409-1411 Lombard St.,Philadelphia,PA,19146,hotel,1926,1926,,,https://www.preservationalliance.com/images/aia/1409-11LombardSt.jpg,image/jpeg,dream005,Preservation Alliance for Greater Philadelphia,"Lombard Street, Philadelphia, PA, USA",39.943947,-75.159541,doubt
Dunbar Theater / Lincoln Theater,Center City,,,Broad and Lombard Streets.,Philadelphia,PA,19146,theater,,,,,https://3wev1f3oz92s4a12494el03m-wpengine.netdna-ssl.com/wp-content/uploads/2017/03/Lincoln-Marquee-dettail-25412-0-B.jpg,image/jpeg,dream006,,"Philadelphia, PA, USA",39.990821,-75.168428,doubt
Female Anti-Slavery Society,Center City,1800s,1800s,107 N. 5th St.,Philadelphia,PA,19106,,,,,,https://hsp.org/sites/default/files/pas.jpg,image/jpeg,dream007,,"North 5th Street, Philadelphia, PA, USA",39.966843,-75.145813,doubt
First African Baptist Church Cemetery,Center City,1800s,1800s,8th and Vine Sts.,Philadelphia,PA,19106,cemetery,1796,1796,,,,,dream008,,"Philadelphia, PA, USA",39.990821,-75.168428,doubt
First African Baptist Church Site #2 / Cherry Street Baptist Church / Cherry Memorial Baptist Church,Center City,,,1025-1027 Cherry St.,Philadelphia,PA,19107,church,,,,,,,dream009,,"Cherry Street, Philadelphia, PA, USA",39.963113,-75.229813,doubt
Free African Society,Center City,,,6th and Lombard Sts.,Philadelphia,PA,19147,,,,,,https://hsp.org/sites/default/files/legacy_files/migrated/richardallenabsolomjones_half.jpg,image/jpeg,dream010,,"6th and Lombard Sts., Philadelphia, PA, 19147",,failed,failed
Grendel's Lair,Center City,,,500 South St.,Philadelphia,PA,19147,,,,,,https://www.preservationalliance.com/images/aia/500SouthSt.jpg,image/jpeg,dream011,,"500 South Street, Philadelphia, PA, USA",39.941747,-75.150875,success
Historic St. George's Methodist Church,Center City,,,235 N. 4th St.,Philadelphia,PA,19106,church,1767; 1812,1767; 1812,,,https://tile.loc.gov/storage-services/service/pnp/habshaer/pa/pa0800/pa0801/photos/139825pv.jpg,image/jpeg,dream012,,"North 4th Street, Philadelphia, PA, USA",39.992082,-75.138301,doubt
"James Forten, Sr. House / Charlotte Forten House",Center City,,,336 Lombard St.,Philadelphia,PA,19147,dwelling,,,,,https://www.preservationalliance.com/images/aia/336LombardStb.jpg,image/jpeg,dream013,Preservation Alliance for Greater Philadelphia,"Lombard Street, Philadelphia, PA, USA",39.943947,-75.159541,doubt
Liberation of Jane Johnson,Center City,,,211 S. Columbus Blvd.,Philadelphia,PA,19106,,,,,,https://npgallery.nps.gov/GetAsset/2d7bad29-73e1-4518-9753-e9ffcd3da775/proxyhires?,image/jpeg,dream014,,"Philadelphia, PA, USA",39.990821,-75.168428,doubt
Lombard Street Riot,Center City,,,6th & Lombard,Philadelphia,PA,19147,,,,,,https://philadelphiaencyclopedia.org/wp-content/uploads/2013/05/RiotIllustration.jpg,image/jpeg,dream015,,"412 Lombard Street, Philadelphia, PA, USA",39.94258,-75.149553,doubt
Mayor Richardson Dilworth House,Center City,,,223-225 S. 6th St.,Philadelphia,PA,19106,dwelling,,,,,https://www.ocfrealty.com/wp-content/uploads/2019/01/IMG_8030.jpg,image/jpeg,dream016,,"South 6th Street, Philadelphia, PA, USA",39.949982,-75.150576,doubt
Octavius V. Catto House Site,Center City,,,814 South St.,Philadelphia,PA,19147,dwelling,,,1990,,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2006_8CattoM-000001,image/jpeg,dream017,,"814 South St, Philadelphia, PA, USA",39.942303,-75.156023,success
Octavius V. Catto School Building #2,Center City,,,2028-2038 Lombard St.,Philadelphia,PA,19146,school,,,,,https://upload.wikimedia.org/wikipedia/commons/1/1c/Octavius_V_Catto_Secondary_School_Colored_Lombard_Street_above_Twentieth_Philadelphia_PA_%281897%29.jpg,image/jpeg,dream018,,"Lombard Street, Philadelphia, PA, USA",39.943947,-75.159541,doubt
ODUNDE Festival,Center City,1970s,1970s,23rd and South Sts.,Philadelphia,PA,19146,,,,,,,,dream019,,"Philadelphia, PA, USA",39.990821,-75.168428,doubt
Pennsylvania Abolition Society,Center City,,,"Front St., below Chestnut St.",Philadelphia,PA,19106,,,,,,https://www.blackpast.org/wp-content/uploads/The-Pennsylvania-Abolition-Societry-Executive-Committee-Sophia-Smith-Collection-Smith-College.jpg,image/jpeg,dream020,,"Philadelphia, PA, USA",39.990821,-75.168428,doubt
Pennsylvania Hall,Center City,,,6th and Haines Sts.,Philadelphia,PA,19144,hall,1838,1838,1838,,https://upload.wikimedia.org/wikipedia/commons/c/c8/Pennsylvania_Hall_%28Philadelphia%29.jpg,image/jpeg,dream021,,"Philadelphia, PA, USA",39.990821,-75.168428,doubt
Robert Bogle Catering Establishment,Center City,,,112 S. 8th St.,Philadelphia,PA,19107,caterer,,,,,https://libwww.freelibrary.org/images/blog/FLPBlog/resized/bogle-portrait.png,image/jpeg,dream022,,"112 South 8th Street, Philadelphia, PA, USA",39.94909,-75.15425,success
Robert Mara Adger House,Center City,,,823 South St.,Philadelphia,PA,19147,dwelling,,,,,https://i.pinimg.com/originals/d0/e4/cb/d0e4cb08475f423afd6860cb029abb25.jpg,image/jpeg,dream023,,"South Street, Philadelphia, PA, USA",39.943754,-75.166382,doubt
Thaddeus Kosciuszko House / Kosciuszko National Memorial,Center City,,,301-303 Pine St.,Philadelphia,PA,19106,dwelling,1750-1780,1750-1780,,,https://www.preservationalliance.com/images/aia/301-3PineSt.jpg,image/jpeg,dream024,Preservation Alliance for Greater Philadelphia,"Pine Street, Philadelphia, PA, USA",39.953331,-75.224626,doubt
Wesley A.M.E. Zion Church,Center City,,,1500-1504 Lombard St.,Philadelphia,PA,19146,church,1925; 1926,1925; 1926,,,https://www.preservationalliance.com/images/aia/1500-04LombardSt.jpg,image/jpeg,dream025,Preservation Alliance for Greater Philadelphia,"Lombard Street, Philadelphia, PA, USA",39.943947,-75.159541,doubt
Baker Bowl,North,,,N. Broad and W. Lehigh Ave.,Philadelphia,PA,19132,stadium,1887,1887,1950,,https://www.baseball-almanac.com/images/Baker_Bowl_postcard.jpg,image/jpeg,dream026,,"Philadelphia, PA, USA",39.990821,-75.168428,doubt
Black Panthers Headquarters,North,,,1928 Cecil B. Moore Ave.,Philadelphia,PA,19121,,,,,,https://images.squarespace-cdn.com/content/v1/57cf18ae6b8f5ba693497e1a/1477071113564-EVO9T7SNVSHGKBO1DDQD/image-asset.jpeg?format=2500w,image/jpeg,dream027,,"1928 Cecil B Moore Ave, Philadelphia, PA, USA",39.979651,-75.166851,success
Cyrus Bustill House ,North,,,near 3rd and Green Sts.,Philadelphia,PA,19123,dwelling,,,,,https://www.hmdb.org/Photos/19/Photo19214.jpg,image/jpeg,dream028,,"Philadelphia, PA, USA",39.990821,-75.168428,doubt
David Bustill Bowser House,North,,,841 N. 4th St.,Philadelphia,PA,19123,dwelling,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/David_Bustill_Bowser.png/220px-David_Bustill_Bowser.png,image/jpeg,dream029,,"North 4th Street, Philadelphia, PA, USA",39.992082,-75.138301,doubt
Ebenezer Don Carlos Bassett House,North,,,2121 N. 29th St.,Philadelphia,PA,19121,dwelling,,,,,,,dream030,,"2121 N 29th St, Philadelphia, PA, USA",39.988316,-75.180225,success
Fair Hill Burial Ground,North,,,2901 Germantown Ave.,Philadelphia,PA,19133,cemetery,1842,1842,,,,,dream031,,"2901 Germantown Ave, Philadelphia, PA, USA",39.99678,-75.146065,success
Jessie Redmon Fauset House,North,,,1853 N. 17th St.,Philadelphia,PA,19121,dwelling,1885,1885,,,https://media.newyorker.com/photos/59097e3bc14b3c606c10999a/master/pass/Jerkins-TheForgottenWorkofJessieRedmonFauset.jpg,image/jpeg,dream032,,"1853 N 17th St, Philadelphia, PA, USA",39.982106,-75.161803,success
John W. Coltrane House,North,,,1511 N. 33rd St.,Philadelphia,PA,19121,dwelling,1895,1895,,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/ColtraneH.jpg/500px-ColtraneH.jpg,image/jpeg,dream033,,"1511 N 33rd St, Philadelphia, PA, USA",39.980283,-75.188424,success
Negro People's Theater of Philadelphia,North,,,311 N. 16th St.,Philadelphia,PA,19102,,,,,,,,dream034,,"North 16th Street, Philadelphia, PA, USA",40.042469,-75.146943,doubt
Pearl Bailey House,North,,,1946 N. 23rd St.,Philadelphia,PA,19121,dwelling,1884-1886,1884-1886,,Willis G. Hale,https://phillyjazzblog.files.wordpress.com/2015/03/pearl-bailey-house-1.jpg?w=474,image/jpeg,dream035,,"1946 N 23rd St, Philadelphia, PA, USA",39.984933,-75.1718,success
Zoar Methodist Church Site,North,,,409 Brown St.,Philadelphia,PA,19123,church,,,,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRC3-IFz85M-EMTeWkvu4VNtOXDyCjiv3GZnYs3Hz1f62Q1rqjUnQQshUKgWfUGoI3LPvA&usqp=CAU,image/jpeg,dream036,,"409 Brown St, Philadelphia, PA, USA",39.964018,-75.144913,success
Robert Purvis Estate,Northeast,,,Byberry and Thornton Roads,Philadelphia,PA,19154,dwelling,1770,1770,,,https://www.ocfrealty.com/wp-content/uploads/2012/01/IMG_0309-560x420.jpg,image/jpeg,dream037,,"Philadelphia, PA, USA",39.990821,-75.168428,doubt
Cliveden,Northwest,,,6401 Germantown Ave.,Philadelphia,PA,19119,dwelling; museum,1763; 1764,1763; 1764,,,https://www.preservationalliance.com/images/aia/6401Germantown.jpg,image/jpeg,dream038,Preservation Alliance for Greater Philadelphia,"6401 Germantown Ave, Philadelphia, PA, USA",40.047285,-75.181627,success
First Protest Against Slavery / Kunder House,Northwest,,,5109 Germantown Ave.,Philadelphia,PA,19144,dwelling,,,,,https://www.hmdb.org/Photos1/170/Photo170532.jpg,image/jpeg,dream039,,"Germantown Avenue, Philadelphia, PA, USA",39.973054,-75.141599,doubt
Germantown Industrial School for Colored Women,Northwest,,,30 Armat St.,Philadelphia,PA,19144,school,,,,,,,dream040,,"Philadelphia, PA, USA",39.990821,-75.168428,doubt
Johnson House,Northwest,,,6306 Germantown Ave.,Philadelphia,PA,19144,dwelling,1768,1768,,,https://www.preservationalliance.com/images/aia/6306Germantown.jpg,image/jpeg,dream041,Preservation Alliance for Greater Philadelphia,"Germantown Avenue, Philadelphia, PA, USA",39.973054,-75.141599,doubt
Sadie T. M. Alexander House,Northwest,,,700 Westview St.,Philadelphia,PA,19119,dwelling,,,,,https://www.preservationalliance.com/images/aia/700Westview.jpg,image/jpeg,dream042,Preservation Alliance for Greater Philadelphia,"Westview Street, Philadelphia, PA, USA",40.050941,-75.187245,doubt
Alain Leroy Locke House,South,,,2221 S. 5th St.,Philadelphia,PA,19148,dwelling,,,,,https://hiddencityphila.org/wp-content/uploads/2021/06/Alain-Locke-home-1.jpg,image/jpeg,dream043,,"Philadelphia, PA, USA",39.990821,-75.168428,doubt
Christian Street YMCA,South,,,1724 Christian St.,Philadelphia,PA,19146,young men's Christian association,1914; 1969,1914; 1969,,,https://www.preservationalliance.com/images/aia/1724ChristianSt.jpg,image/jpeg,dream044,Preservation Alliance for Greater Philadelphia,"Philadelphia, PA, USA",39.990821,-75.168428,doubt
Institute for Colored Youth,South,,,915 Bainbridge St.,Philadelphia,PA,19147,school,1865-1866,1865-1866,,,https://www.preservationalliance.com/images/aia/915BainbridgeSt.jpg,image/jpeg,dream045,Preservation Alliance for Greater Philadelphia,"915-25 Bainbridge St, Philadelphia, PA, USA",39.942014,-75.15791,success
Marian Anderson House,South,,,762 S. Martin St.,Philadelphia,PA,19146,dwelling; museum,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/M_Anderson_House_Philly.jpg/500px-M_Anderson_House_Philly.jpg,image/jpeg,dream046,,"South Martin Street, Philadelphia, PA, USA",39.9424,-75.174771,doubt
Mercy Hospital - Site #1,South,,,17th and Fitzwater Sts.,Philadelphia,PA,19146,hospital,,,,,,,dream047,,"1910 Fitzwater Street, Philadelphia, PA, USA",39.942723,-75.174563,doubt
Crystal Bird Fauset House,West,,,5403 Vine St.,Philadelphia,PA,19139,dwelling,,,,,https://www.phila.gov/media/20170308121227/Crystal-Bird-Fauset1-550x360.jpg,image/jpeg,dream048,,"Vine Street, Philadelphia, PA, USA",39.965265,-75.225533,doubt
Freedom Now Rally (Dr. Martin Luther King Jr.),West,,,Lancaster and Haverford Aves.,Philadelphia,PA,19104,,,,,,,,dream049,,"3529 Haverford, Philadelphia, PA, USA",39.963926,-75.19431,doubt
MOVE site,West,,,6221 Osage Ave.,Philadelphia,PA,19143,,,,,,,,dream050,,"6221 Osage Ave, Philadelphia, PA, USA",39.955692,-75.24687,success
Shelter for Colored Orphans,West,1800s,1800s,44th and Haverford Ave.,Philadelphia,PA,19104,orphanage,,,,,,,dream051,,"Philadelphia, PA, USA",39.990821,-75.168428,doubt
Underground Railroad Museum at Belmont Mansion / American Women's Heritage Society,West,1980s,1980s,2000 Belmont Mansion Dr.,Philadelphia,PA,19131,dwelling; museum,1742-1751; 1888; 1905,1742-1751; 1888; 1905,,,https://www.philasun.com/wp-content/uploads/2016/02/diaspora_02-28-16b.jpg,image/jpeg,dream052,,"Philadelphia, PA, USA",39.990821,-75.168428,doubt
Frederick Douglass Memorial Hospital,Center City,,,1512 or 1522 Lombard St.,Philadelphia,PA,19146,hospital,,,,,,,dream053,,"Philadelphia, PA, USA",39.990821,-75.168428,doubt
Church of the Advocate,North,,,1801 W. Diamond St.,Philadelphia,PA,19121,church,1891; 1897,1891; 1897,,Charles M. Burns,https://billypenn.com/wp-content/uploads/2019/10/churchoftheadvocate-02crop-1024x576.jpg,image/jpeg,dream054,,"West Diamond Street, Philadelphia, PA, USA",39.987156,-75.175417,doubt
North Penn Baptist Church,North,,,2419-2425 N. 27th St.,Philadelphia,PA,19132,church,1911,1911,,Charles Wells,,,dream055,,"North 27th Street, Philadelphia, PA, USA",39.985261,-75.177145,doubt
Greater Exodus Baptist Church / Our Lady of Blessed Sacrament / Central Presbyterian Church,North,,,708-714 N. Broad St.,Philadelphia,PA,19130,church,1877,1877,,Collins Autenreith,https://1.bp.blogspot.com/-B9RqF2W50Sk/XQSjxqw1jrI/AAAAAAAAouQ/wJHHBWrYZTUd6sE0d1nuhOI5OSmRe5BDgCLcBGAs/s640/MediaStream%2B%25281%2529.jpg,image/jpeg,dream056,,"North Broad Street, Philadelphia, PA, USA",40.010581,-75.150898,doubt
Uptown Theater,North,,,2240 N. Broad St.,Philadelphia,PA,19132,theater,1927; 1929,1927; 1929,,E. Magiziner; H. Magiziner,https://cdn10.phillymag.com/wp-content/uploads/sites/3/2021/09/Uptown-theater-lede.jpg,image/jpeg,dream057,,"2240-48 N Broad St, Philadelphia, PA, USA",39.987403,-75.15652,success
Peter A. B. Widener Mausoleum (Laurel Hill Cemetery),North,,,3822 Ridge Ave.,Philadelphia,PA,19132,mausoleum,1915,1915,,Horace Trumbauer; Julian Abele,,,dream058,,"Ridge Avenue, Philadelphia, PA, USA",39.96086,-75.156768,doubt
Wayland Temple Baptist Church / Columbia Avenue Methodist Church,North,,,2500 Cecil B. Moore Ave.,Philadelphia,PA,19121,church,1888; 1916,1888; 1916,,Oscar Frotscher; George Savage,,,dream059,,"2500 Cecil B Moore Avenue, Philadelphia, PA, USA",39.980753,-75.175932,success
B.M. Oakley Memorial Temple / Trinity Reformed Church,North,,,1535 N. 7th St.,Philadelphia,PA,19122,church,1869,1869,,Samuel Sloan,,,dream060,,"1535 North 7th Street, Philadelphia, PA, USA",39.974826,-75.147168,success
Zion Baptist Church / St. Paul Reformed Church / Trinity Reformed Church,North,,,3600 N. Broad St.,Philadelphia,PA,19140,church,"1904; 1914; 1973, ","1904; 1914; 1973, ",,"Stearns & Castor; Eshbach, Glass, Kale & Associates",,,dream061,,"3600 N Broad St, Philadelphia, PA, USA",40.007963,-75.152024,success
Freedom Theatre,North,,,1346 N. Broad St.,Philadelphia,PA,19121,theater,"1853, 1865","1853, 1865",,Stephen D. Button,,,dream062,,"North Broad Street, Philadelphia, PA, USA",40.010581,-75.150898,doubt
St. Paul Baptist Church / First Reformed Church Building,North,,,1000 Wallace St.,Philadelphia,PA,19123,church,1888; 1916; 1920; 1929,1888; 1916; 1920; 1929,,Stuckert & Co.,,,dream063,,"Wallace Street, Philadelphia, PA, USA",39.963493,-75.217236,doubt
Berean Presbyterian Church Site / Berean Institute,North,,,1906-1926 S. College Ave.,Philadelphia,PA,19121,church,1884; 1888,1884; 1888,,T. P. Chandler,,,dream064,,"South College Avenue, Philadelphia, PA, USA",39.973213,-75.168747,doubt
Berean Presbyterian Church / Bethlehem Presbyterian Church,North,,,2101 N. Broad St.,Philadelphia,PA,19122,church,1888; 1909; 1910; 1915,1888; 1909; 1910; 1915,,T. P. Chandler; J. Franklin Stuckert,,,dream065,,"2101 North Broad Street, Philadelphia, PA, USA",39.98487,-75.156197,success
Universal Negro Improvement Association (UNIA),North,,,1609-11 Cecil B. Moore Ave.,Philadelphia,PA,19121,,1894,1894,,Thomas Lonsdale,,,dream066,,"1609-11 Cecil B Moore Ave, Philadelphia, PA, USA",39.979375,-75.161489,success
Girard College,North,,,2101 S. College Ave.,Philadelphia,PA,19121,school,1833; 1968,1833; 1968,,Thomas Ustick Walter,https://media.phillyvoice.com/media/images/01-083115_GirardCollege_Carroll.2e16d0ba.fill-735x490.jpg,image/jpeg,dream067,,"South College Avenue, Philadelphia, PA, USA",39.972627,-75.173802,doubt
Union A.M.E. Church / Hedding M. E. Church / Calvary Baptist Church,North,,,655 N. 16th St.,Philadelphia,PA,19130,church,"1859; 1902; 1906, ","1859; 1902; 1906, ",,Watson & Huckel; C. Davis,,,dream068,,"655-59 N 16th St, Philadelphia, PA, USA",39.966666,-75.163569,success
Unity Mission / Charles T. Ellis House,North,,,1430 N. Broad St.,Philadelphia,PA,19121,dwelling,1891,1891,,William Decker,,,dream069,,"1430 N Broad St, Philadelphia, PA, USA",39.975493,-75.15912,success
Metropolitan Opera House,North,,,848-860 N. Broad St.,Philadelphia,PA,19130,opera house; church,1908,1908,,William McElfatrick,,,dream070,,"North Broad Street, Philadelphia, PA, USA",40.010581,-75.150898,doubt
Shibe Park / Connie Mack Stadium,North,,,2701 N. 21st St.,Philadelphia,PA,19132,stadium,1908-1909,1908-1909,1976,William Steele & Sons Co.,,,dream071,,"North 21st Street, Philadelphia, PA, USA",39.983256,-75.168608,doubt
Divine Lorraine Hotel,North,,,699 N. Broad St.,Philadelphia,PA,19123,hotel; apartment building,1894,1894,,Willis G. Hale,,,dream072,,"699 N Broad St, Philadelphia, PA, USA",39.966699,-75.160017,success
Bethany A.M.E. Church,Northeast,,,8820 Ashton Rd.,Philadelphia,PA,19136,church,1825,1825,,Elias Chase,,,dream073,,"8820 Ashton Rd, Philadelphia, PA, USA",40.058183,-75.027363,success
Germantown Historical Society / Fromberger House,Northwest,,,5501-5505 Germantown Ave.,Philadelphia,PA,19144,dwelling; young women's christian association; church; office building,"1795; 1796; 1917; 1930; 1952, ","1795; 1796; 1917; 1930; 1952, ",,G. Edwin,https://www.preservationalliance.com/images/aia/5501Germantown.jpg,image/jpeg,dream074,Preservation Alliance for Greater Philadelphia,"Germantown Avenue, Philadelphia, PA, USA",39.973054,-75.141599,doubt
Northern Home for Children,Northwest,,,5301 Ridge Ave.,Philadelphia,PA,19128,,1927,1927,,Horace Trumbauer; Julian Abele,,,dream075,,"5301 Ridge Ave, Philadelphia, PA, USA",40.021044,-75.208578,success
Grace Baptist Church Building #1,Northwest,,,34-36 E. Sharpnack St.,Philadelphia,PA,19119,church,1908,1908,,Jacob Naschold,https://www.preservationalliance.com/images/aia/34-6ESharpnack.jpg,image/jpeg,dream076,Preservation Alliance for Greater Philadelphia,"34-36 E Sharpnack St, Philadelphia, PA, USA",40.049813,-75.183061,success
Coulter Street School site / Daniel L. Keyser School / Wissahickon Boys and Girls Club,Northwest,,,328 W. Coulter St.,Philadelphia,PA,19144,school,"1887-1899, ","1887-1899, ",,Joseph Anshutz,https://www.preservationalliance.com/images/aia/328WCoulter.jpg,image/jpeg,dream077,Preservation Alliance for Greater Philadelphia,"328 W Coulter St, Philadelphia, PA, USA",40.026712,-75.176742,success
Galilee Baptist Church Building,Northwest,,,457 Roxborough Ave.,Philadelphia,PA,19128,church,1900,1900,,Kennedy & Kelsey,,,dream078,,"457 Roxborough Ave, Philadelphia, PA, USA",40.028745,-75.213417,success
Thomas Meehan Public School,Northwest,,,5347-5353 Pulaski Ave.,Philadelphia,PA,19144,school,1901,1901,,Lloyd Titus,https://www.preservationalliance.com/images/aia/5347Pulaski.jpg,image/jpeg,dream079,Preservation Alliance for Greater Philadelphia,"Pulaski Avenue, Philadelphia, PA, USA",40.032722,-75.182942,doubt
Grace Baptist Church Building #2,Northwest,,,25 W. Johnson St.,Philadelphia,PA,19144,church,1960,1960,,Mansell McGettigan & Fugate,https://www.preservationalliance.com/images/aia/25WJohnson.jpg,image/jpeg,dream080,Preservation Alliance for Greater Philadelphia,"West Johnson Street, Philadelphia, PA, USA",40.037799,-75.190539,doubt
Canaan Baptist Church Building / West Side Presbyterian Church Building,Northwest,,,5430 Pulaski Ave.,Philadelphia,PA,19144,church,1891,1891,,Mantle Fielding,https://www.preservationalliance.com/images/aia/5430Pulaski.jpg,image/jpeg,dream081,Preservation Alliance for Greater Philadelphia,"5430 Pulaski Avenue, Philadelphia, PA, USA",40.028438,-75.177459,success
Janes Methodist Church Building,Northwest,,,528 E. Haines St.,Philadelphia,PA,19144,church,1898; 1911,1898; 1911,,Rankin and Kellogg,https://www.preservationalliance.com/images/aia/528EHaines.jpg,image/jpeg,dream082,Preservation Alliance for Greater Philadelphia,"528 E Haines St, Philadelphia, PA, USA",40.04493,-75.169789,success
Germantown YMCA,Northwest,,,5722 Greene St.,Philadelphia,PA,19144,young men's Christian association,1928,1928,,Thomas Martin & Kirkpatrick,https://www.preservationalliance.com/images/aia/5722Greene.jpg,image/jpeg,dream083,Preservation Alliance for Greater Philadelphia,"5722-28 Greene St, Philadelphia, PA, USA",40.034007,-75.177817,success
Bethel A.M.E. Church (Germantown) Building #2 / Rialto Theater Building / Tulpehocken Theater Building,Northwest,,,6153 Germantown Ave.,Philadelphia,PA,19144,church,1914; 1936; 1976,1914; 1936; 1976,,William H. Lee,https://www.preservationalliance.com/images/aia/6153Germantown.jpg,image/jpeg,dream084,Preservation Alliance for Greater Philadelphia,"6153 Germantown Avenue, Philadelphia, PA, USA",40.042148,-75.179724,success
Bainbridge Club / Hotel Brotherhood USA,South,,,1523-1529 Bainbridge St.,Philadelphia,PA,19146,clubhouse,1919,1919,,A. Borzner,,,dream085,,"Bainbridge Street, Philadelphia, PA, USA",39.942257,-75.161512,doubt
Gloria Dei Church / Old Swedes' Episcopal Church,South,,,916 S. Swanson St.,Philadelphia,PA,19147,church,"1677-1698; 1703-1705; 1733; 1845; 1896, ","1677-1698; 1703-1705, 1733; 1845; 1896, ",,Andrew Rudman,,,dream086,,"South Swanson Street, Philadelphia, PA, USA",39.916921,-75.146962,doubt
